Gene,MeanAbsSHAP
FRMPD2,0.0026248472
ULK4,0.002608359
SPESP1,0.0025933313
ERCC1,0.0025889806
U2AF1,0.0025501663
C17orf58,0.0025463514
CAPN12,0.002545532
C19orf81,0.0025422347
CCND3,0.002540997
KLHL3,0.0025184005
ADCY7,0.0024807206
GRN,0.0024630448
SPINT1,0.0024512007
LAP3,0.0024296052
PDE4B,0.0024291694
ZNF480,0.0024219558
SSTR1,0.002421173
JCHAIN,0.0024163208
TTC9,0.0023856356
ARL4D,0.0023504694
POMT2,0.0023387095
ZFP36L1,0.0023369498
NRBP1,0.0023277912
SV2B,0.0023275823
CD38,0.0023201858
PRKCE,0.0023184696
NR1H3,0.0023090702
CHRNA6,0.0023082925
EHD1,0.002307528
RAB39A,0.0022947583
PNN,0.002291702
CABP7,0.0022781512
ZNF700,0.0022713896
TICRR,0.002266817
CFTR,0.0022633984
NDNF,0.002250443
HS3ST1,0.0022262847
LLGL2,0.0022092378
HCFC1R1,0.002192409
SERINC1,0.0021877128
GCNT1,0.0021511132
WDR35,0.0021508068
ZNF274,0.0021466364
DLK2,0.002142363
PLCL1,0.0021384682
UBE3C,0.0021028265
SLC44A3,0.0020853376
NTN4,0.0020797388
MORN3,0.0020787134
ACSM3,0.0020765886
PRICKLE1,0.002059695
ING4,0.0020492973
ZMYND10,0.0020464591
AASS,0.0020432353
PRSS12,0.0020203835
ACP3,0.0020143308
ZNF678,0.002013557
CYP27C1,0.002012526
TMOD3,0.0020092512
G6PD,0.0019922964
CAPN5,0.0019920198
CLIC2,0.0019862656
PTMA,0.0019818852
NAGPA,0.0019732523
LRWD1,0.0019457293
ADK,0.0019395429
ARTN,0.0019260808
TNIP3,0.001923686
EBPL,0.0019216865
KHK,0.0019202875
TENM2,0.0019059493
EME2,0.0018983089
ZNF74,0.001884489
GNPDA1,0.0018830838
SPIN4,0.001881524
PPARD,0.0018812489
ACBD4,0.0018716062
CCNC,0.0018704414
RHEBL1,0.0018692818
COL18A1,0.001867956
SCRN2,0.0018678686
KCNC1,0.0018643293
WNT5B,0.0018588033
TAF1A,0.0018455554
FAM13A,0.0018370753
AC055839.2,0.0018313956
KDM1A,0.001824313
ING3,0.0018221749
KDM4C,0.0018041623
PTPRU,0.0017913432
KLHL13,0.0017822786
GRIA3,0.0017738665
SLC9A1,0.0017733442
CLCC1,0.0017725517
EDEM3,0.0017702673
SLC45A2,0.0017683719
ACOT11,0.0017658557
TMEM241,0.0017649372
GNA14,0.0017594713
SLCO5A1,0.001758831
ST8SIA5,0.0017586652
POF1B,0.0017559229
SLC7A2,0.001752667
SLC1A5,0.0017449815
SIPA1L3,0.0017413431
GOLGA8B,0.0017361572
TENT5C,0.0017341861
POLD4,0.0017332152
SLC24A4,0.001732199
WDTC1,0.0017321318
PXMP4,0.0017309111
ARID5B,0.0017265584
FAM217B,0.0017252712
EEPD1,0.0017236839
UGT2B17,0.001719722
CTDSP2,0.0017036609
TNNC1,0.0017022872
MCM6,0.001700926
TESMIN,0.0016969809
POLE4,0.0016965064
MCFD2,0.001681799
FNDC3A,0.001680904
PPCDC,0.0016782548
RHCE,0.0016759041
GPR137C,0.0016751763
SHISA5,0.0016751336
AP2B1,0.0016678419
AOC2,0.0016528993
LRRFIP2,0.0016507749
ENPP4,0.0016483933
EIF5A2,0.0016373653
MYCBPAP,0.0016348803
REX1BD,0.0016286377
SPTA1,0.0016188878
TMEM191B,0.001603864
UGGT2,0.0016034669
HIVEP2,0.00160322
ELMO1,0.0015814473
CYB561,0.0015748679
RYR3,0.0015738978
H2AC13,0.0015505324
MFSD9,0.0015451639
RRBP1,0.0015451185
ABCC2,0.0015433218
NOTCH1,0.0015375313
KDSR,0.0015373578
NDP,0.0015295283
HAGH,0.0015247227
SEL1L3,0.0015057238
CDK2AP1,0.0015032605
FILIP1L,0.001503159
DCAKD,0.0014982783
TFAP4,0.0014960176
SEPTIN9,0.0014959943
KCNC4,0.0014959034
RPL3,0.0014843663
CDV3,0.00148157
NCF2,0.0014803262
C17orf49,0.0014799061
TRIM61,0.0014785304
MOAP1,0.0014775725
THEM6,0.0014774891
NIPAL3,0.0014765951
GCLC,0.0014718015
LPAR1,0.0014650617
EPOP,0.0014567748
SYNPO2,0.0014551111
TMEM176A,0.0014518903
SLC27A5,0.0014419504
NUDT13,0.0014417218
MAGEB17,0.0014374502
TNIP2,0.0014356385
RBM20,0.0014299707
ANTKMT,0.001428383
PIK3R3,0.001428314
USP53,0.0014270985
CREBBP,0.0014261338
HHIP,0.0014234543
PPM1M,0.0014202138
PDE4A,0.0014199745
TTLL3,0.0014195073
LYST,0.0014178827
POMGNT1,0.0014176322
CYP26B1,0.0014159883
MDFI,0.0014149445
GOLGA8N,0.0014092387
NPR1,0.0014041723
ACTR3C,0.0014015968
CAPG,0.0014000327
C1orf53,0.0013994668
OSMR,0.0013971594
ZNF519,0.0013960507
ANKIB1,0.0013955211
ATXN10,0.0013924303
IDH2,0.0013879525
ETV6,0.0013864549
KDM5D,0.0013844253
GALNT11,0.0013835431
MOCS2,0.0013733654
MPST,0.0013685976
RAET1G,0.0013668351
LYRM7,0.0013629384
SHISA3,0.0013624779
RCL1,0.0013611428
ISM2,0.0013554208
TUBE1,0.0013525657
BAZ2B,0.0013245401
NR4A1,0.0013243669
TRAF3IP2,0.0013183933
C1orf21,0.0013136443
CEP152,0.0013105891
CSGALNACT1,0.0013104762
SLC26A11,0.0013086664
RHBDF1,0.0013070321
CCDC34,0.0012989776
FAM9C,0.0012981448
TRAP1,0.0012910746
PCP4,0.0012856373
TRIM2,0.0012826057
SLC2A1,0.0012819621
GIPR,0.0012796195
TCEAL3,0.0012672496
DNAAF5,0.0012634038
CALCOCO2,0.001261216
STPG1,0.0012553949
HRCT1,0.0012536248
CCDC183,0.0012425944
NEUROD2,0.0012375411
FPR1,0.0012291175
BBC3,0.0012278234
DUSP14,0.0012260884
TMEM8B,0.0012229846
LSS,0.0012225389
PGM2L1,0.0012220684
YPEL5,0.0012191117
CYP2U1,0.0012128856
D2HGDH,0.0012116444
SLC51A,0.0012056201
GATD3B,0.0012034867
APBA2,0.0012001949
CYB561D2,0.0011943077
HERPUD1,0.001191202
SEPTIN3,0.0011910485
MBNL3,0.0011899772
TP73,0.0011864161
SCG2,0.0011857102
ASIC4,0.0011842648
NME3,0.0011763321
DCUN1D5,0.0011746075
UXS1,0.0011726172
PNP,0.0011681138
MYO9A,0.0011662849
SPAG4,0.0011637177
NPR2,0.0011629454
TAFA3,0.0011613523
PHEX,0.0011519497
IL4R,0.001142187
SATB1,0.0011362944
F2RL2,0.0011356943
MCU,0.0011278662
AOC1,0.001125275
PNRC1,0.0011214787
BAIAP3,0.0011115302
ME1,0.0011101811
AOPEP,0.0011083535
M1AP,0.0011068424
C2orf74,0.0011067955
SCPEP1,0.0011042112
UPRT,0.0011000722
AC099489.1,0.0010994502
INHBE,0.0010982445
SLC39A6,0.0010965727
SLC3A2,0.0010884844
GAA,0.0010851915
FBN1,0.0010831986
PDK4,0.0010823469
PIGW,0.0010815059
PYHIN1,0.0010783313
OPTN,0.0010774934
CBARP,0.001075077
IRF8,0.0010727666
MIDEAS,0.0010721928
CA5B,0.0010630968
TNFSF4,0.001058672
STK38,0.0010581691
MAP3K5,0.0010547955
H3-3A,0.001052396
AP1AR,0.0010518465
ZNF84,0.0010512209
ALKBH5,0.0010486781
AC007906.2,0.001047986
PLAC9,0.001047585
ADORA1,0.0010453818
WNT16,0.0010448393
NFE2L3,0.0010434835
CAMKK1,0.0010431978
CASP10,0.0010365805
ARL13B,0.0010363917
TMEM243,0.0010339018
CHAMP1,0.0010321978
TMEM140,0.0010302401
CBX5,0.0010302092
C3orf62,0.001028293
PTPRE,0.0010265235
NTS,0.0010229789
CTIF,0.0010227856
RASSF1,0.0010193433
CEP85L,0.0010101651
ACTR3B,0.0010101419
SH2D2A,0.0010101156
ZNF841,0.0010098146
FERMT3,0.001007749
TTC7B,0.0010020552
TSPAN2,0.0010015512
ULBP1,0.0009970079
TMEM164,0.0009969476
ADAM28,0.000993191
KLRG1,0.0009825539
BASP1,0.0009810039
SHCBP1,0.0009776609
GPC3,0.0009766108
SLC35G1,0.00097343087
SSC4D,0.00096500554
EIF2AK2,0.0009643252
NDST1,0.00095837563
HSPB6,0.00095497625
NIPSNAP3A,0.000946418
REXO5,0.00094582746
GABARAP,0.000943368
CLIC6,0.00093905977
CD96,0.00093752827
SLC6A13,0.000933382
LTBP3,0.0009329766
CBX7,0.0009315642
SCIMP,0.00093074073
CCDC50,0.00093068863
BATF,0.00093067955
SLC7A5,0.0009273677
TFCP2,0.00092402025
ERP27,0.0009196172
DSP,0.00091879163
MAP3K9,0.0009138724
EPN3,0.0009121562
DYRK2,0.0009099836
TXNRD2,0.0009095079
SMOC1,0.0009078423
MYOM2,0.0009072052
CTNNAL1,0.00090523297
MSL3,0.0008986587
BID,0.00089794816
ZNF26,0.0008972234
FOXG1,0.000896269
RSAD1,0.00088906515
HACD4,0.00088791596
CPVL,0.00088671996
CCDC112,0.00087778637
GAL3ST4,0.0008756241
KIF12,0.00087301043
ARHGAP33,0.0008660278
ZNF562,0.0008652853
CCSER2,0.0008637663
FADS1,0.0008592359
FAM24B,0.00085919676
TFAP2C,0.0008534678
TFEC,0.00085246627
HAUS4,0.0008522956
PODNL1,0.0008465432
BOLA2B,0.0008457598
PRG2,0.00083841727
MAP10,0.00083500013
RIPK4,0.0008346424
SRGAP2,0.0008332675
NCK2,0.000831234
DNAJC24,0.00082983106
AKR1B1,0.000828657
SLC4A2,0.00082826935
ANOS1,0.0008242322
CSF2RA,0.0008217488
THBS1,0.0008196482
DBF4,0.00081346935
GAGE2E,0.0008133597
PALM2AKAP2,0.00081157085
DMKN,0.000810901
TYK2,0.00080929877
FOXD1,0.00080901897
FGF1,0.00080692535
ARHGEF37,0.0007971789
GATA1,0.0007957928
ACOT1,0.0007898531
CISD3,0.00078489777
SNAI2,0.0007843573
MTMR7,0.00078153267
AGT,0.0007797267
RGS11,0.0007792466
TRAF4,0.0007783929
IDO1,0.00077780633
STARD3NL,0.0007768496
SELENOO,0.0007741803
TFF3,0.00077358074
RTL10,0.00077313976
MMP3,0.00077211513
CHD6,0.0007702866
CCDC88B,0.0007699277
ATP6V1C1,0.0007641502
MAX,0.0007619448
SYN1,0.0007594196
OSBPL6,0.0007588488
MYO5C,0.0007534624
IPO5,0.0007509604
BAALC,0.00075095607
SLC22A16,0.0007458208
PGGHG,0.0007457307
GDPD3,0.00074090116
CEACAM1,0.0007387872
SQLE,0.0007384382
HSPB1,0.0007360696
SMOX,0.00073438697
TKT,0.0007292831
BPNT1,0.0007288945
BCR,0.0007270428
BEND6,0.0007237553
GNG13,0.00071701297
SAV1,0.00070915534
CFAP251,0.00070554327
TEDC1,0.0007037744
CCNP,0.000701844
DTNA,0.00069825695
GNG11,0.0006971727
MN1,0.00069604605
METRNL,0.00069533935
KCNH1,0.00069495157
LAG3,0.00069454126
SLC2A4RG,0.00069376454
PROM1,0.00069330656
CHMP2B,0.0006927124
KLHDC4,0.00069268903
RABL6,0.00069153943
CTH,0.0006900579
GOLGA8Q,0.0006854192
TCEA3,0.00068294135
GAB2,0.00068123266
CAMK1D,0.00067654246
APOA2,0.0006763251
RECQL,0.0006733562
RRAGC,0.00067332893
MST1R,0.0006716489
NOS2,0.0006703222
MICAL1,0.0006683595
NME4,0.00066818576
ACOT13,0.0006624539
PKD2L1,0.0006591826
CYP4V2,0.00065803825
RANGRF,0.0006555721
RPS27,0.0006534073
SCMH1,0.0006518531
NDUFAF3,0.00065130595
AQP1,0.00064918393
CD164,0.0006478531
GDA,0.0006464898
RANBP17,0.0006432491
CEP41,0.0006415862
RLN2,0.0006401728
SFTPA2,0.00064012414
EIF2S3B,0.000636858
APBA1,0.00063428987
PIANP,0.0006320129
COLGALT1,0.00063177507
GAS7,0.0006314892
RPL27A,0.0006298292
DIPK2A,0.00062680553
IAH1,0.00062550645
MRE11,0.0006246622
SRGAP2C,0.00062275765
RHBDD1,0.0006224066
DBP,0.0006202684
STAM,0.00061676063
GALNS,0.00061654573
FGG,0.0006132268
UGCG,0.0006114656
OSBPL7,0.0006091133
THSD7A,0.0006059737
DBI,0.00060570554
SERPING1,0.0006055546
ACSS3,0.0006053135
TMEM267,0.00060219195
ZNF550,0.00060165016
STAB1,0.00060029834
C4orf33,0.0005996103
SLC9A3,0.0005976783
MIA2,0.0005946323
MCUB,0.0005941546
TRIB3,0.0005939834
PARP11,0.0005934102
PNKP,0.00059183553
DCN,0.00058642303
CCNY,0.0005843116
STK10,0.00058385526
TMPRSS15,0.00058276724
KCTD13,0.00058273395
HAPLN1,0.00058160006
MLH1,0.00058114657
SDCBP2,0.00057896273
JAKMIP1,0.00057858374
TREX1,0.00057793927
MAP7D3,0.0005775318
CYP51A1,0.0005754601
TIMM8B,0.0005742632
GRAMD4,0.00057305145
SSBP4,0.0005637
WAS,0.00056194555
BANK1,0.00055774796
NIPAL2,0.0005572202
PTK7,0.0005558165
MT1F,0.0005539279
LRRC6,0.00055328006
DDX19B,0.0005522962
FLG,0.00055197376
PPP1R15B,0.000547439
WDR54,0.00054657337
STARD8,0.0005462276
CTNS,0.00054483366
CLIC5,0.0005440977
TSPOAP1,0.0005412961
LY6E,0.0005389244
ILDR2,0.00053585874
IL7R,0.00053557503
CRELD2,0.00053141516
ALDH3B1,0.0005256029
JSRP1,0.0005253121
TMEM98,0.00052390114
MR1,0.0005228859
TRIM68,0.000522399
TNFRSF8,0.0005219836
KIAA1614,0.00051990943
SEC61A2,0.000517931
GSDMA,0.00051741285
PIR,0.00051662343
FKBP4,0.000515142
TMSB10,0.000512441
OIP5,0.00051239657
ALS2,0.0005122524
JUND,0.0005120334
KCTD12,0.0005115853
WNT6,0.0005107972
CALCOCO1,0.0005097108
GTF2IRD1,0.00050718983
UBTD1,0.0005068347
TRAPPC2L,0.0005046068
HOPX,0.00050438195
SLC35E3,0.00050397235
MAPK8IP2,0.0005036885
ARMC5,0.0005024817
TICAM2,0.0005008103
RHBDD2,0.0005007445
CELSR3,0.000500568
DNPH1,0.0004998806
NADK,0.00049896125
SMC5,0.0004988314
NKX2-5,0.0004952639
SUMO3,0.0004937425
MEAK7,0.00049275724
NRG1,0.0004911578
AFAP1L2,0.0004907025
SBF2,0.00049034803
TLCD4,0.0004895187
ANO7,0.0004893626
MOB3C,0.00048759553
DISP3,0.00048705132
NMNAT1,0.00048598586
GAD1,0.00048290615
TWSG1,0.00048187384
ZNF573,0.00048185643
ABCB4,0.00047620907
CAPN2,0.00047593645
GDF6,0.00046911486
VPS50,0.00046903978
CD58,0.00046878206
SGSH,0.00046848948
CD4,0.00046784352
CEMIP,0.0004629724
PODXL,0.0004618785
IL17B,0.0004604425
IKBKB,0.00045886365
AKR1C3,0.00045776795
SLC16A9,0.000455579
SRI,0.00045135224
H1-4,0.00045125594
TMEM182,0.00045078763
RXFP1,0.0004504268
NAIP,0.0004493924
SLC6A9,0.0004489212
KLF2,0.00044838336
SOX13,0.0004483437
TENM1,0.00044652526
ZNF354B,0.00044267855
NXT2,0.00043589095
SLC24A5,0.00043373278
NDUFAF8,0.0004326694
PTGES3L-AARSD1,0.0004304224
CHDH,0.0004296944
PLEKHG3,0.00042862477
NTRK2,0.00042771455
TNFSF14,0.00042558854
FAM216A,0.00042554035
THPO,0.00042546095
ARFGEF3,0.00042233776
SCCPDH,0.00042196744
TMEM101,0.00042155944
HECW1,0.00042119308
CNTN5,0.00042004895
EPHA4,0.00041960712
MAN2B2,0.00041734034
PRSS22,0.00041728004
SLAMF7,0.00041660687
DLK1,0.00041647206
ANKRD10,0.00041614767
USH1C,0.00041584854
RFLNB,0.00041469585
KMT2E,0.00041392667
ROGDI,0.00041200896
ELAPOR2,0.0004099014
PAK3,0.00040957413
GOT1,0.00040939907
ARHGAP31,0.00040853268
KHDRBS3,0.000407913
RARRES1,0.0004055543
KLK11,0.00040477386
VPS13C,0.00040106336
DCPS,0.00040047357
CARMIL3,0.0004004536
JOSD2,0.00039815108
MYO7B,0.0003975676
SMARCD3,0.00039623285
LNX1,0.0003959924
BCL2L1,0.00039561614
HOXA11,0.00039560118
KDM6B,0.00039553593
NAGS,0.0003927208
KCNQ1,0.00039207446
SCO2,0.00039178596
MAN2A2,0.00039076258
MNS1,0.00038757306
CYP4F3,0.00038674418
SOAT1,0.00038522846
SERAC1,0.00038474402
JDP2,0.0003844559
INTU,0.00038386055
ELOVL5,0.00038320172
MYL6,0.00038270673
TFPI,0.00038212605
UST,0.00038188483
CERS6,0.00038097394
TM9SF2,0.00037534547
TUBG2,0.000375081
C1R,0.00037448396
MRPL41,0.0003732999
TANC1,0.0003726615
BMPER,0.00037200842
FGFBP3,0.00037073714
SPPL2B,0.00036965683
DNAJC25-GNG10,0.00036961064
EPM2A,0.0003676694
DTL,0.00036766494
EHD3,0.00036754762
ABHD2,0.00036677907
EPS8,0.0003664659
RNF2,0.00036559577
C17orf75,0.00036526506
KMT2A,0.000364393
BDKRB2,0.0003640397
CTSS,0.00036394948
YBX2,0.00036366293
CMTM7,0.00036347643
UBXN11,0.0003617026
HS6ST1,0.0003609518
PLEKHO1,0.00035828725
GABRE,0.00035788756
CYTH1,0.00035562177
RUFY3,0.00035541353
PRPS2,0.0003550068
ST7,0.00035382572
UBE2Q1,0.0003517291
KRT14,0.00035172864
PKD1,0.00035127715
ZMYND8,0.0003510036
ZNF582,0.00035024984
RIOX2,0.00034985595
MARS1,0.00034979175
ATP13A2,0.00034929367
ZNF750,0.00034894838
NTAQ1,0.0003489142
HIF1A,0.00034457303
C1QTNF5,0.00034435003
GCA,0.00034415294
TSPAN15,0.0003438825
PDX1,0.00034275357
COLGALT2,0.0003426418
MAD1L1,0.00033946973
FOXO6,0.0003383186
RRAGD,0.0003364321
FABP5,0.00033565785
TREM1,0.00033482452
CD1C,0.0003341618
FBXO16,0.00033338694
SNX13,0.0003328582
FAM214A,0.0003321347
SLC25A27,0.00033141402
PLXND1,0.00033036785
PTPRC,0.00032971977
ZNF185,0.00032901554
CBFB,0.00032757132
PARD3B,0.00032615734
MPC1,0.00032582294
GRAMD1C,0.00032550038
CCRL2,0.00032545265
LAMP2,0.00032311617
PGAP4,0.00032297388
CARS1,0.00032180172
REST,0.00032159803
SPRY2,0.00031938063
IL4I1,0.00031784963
IFT27,0.00031635578
COCH,0.00031525872
PRRX1,0.00031513142
DGAT2,0.00031484515
NLGN1,0.00031397247
TKTL1,0.00031304886
PLD6,0.0003128346
SKAP1,0.0003121619
NUB1,0.0003115232
TOGARAM1,0.00030974564
FOXO3,0.00030937124
HAND1,0.0003086061
PRKCZ,0.00030813066
ZNF862,0.0003080537
FAM171A2,0.00030756107
MYO18B,0.00030700883
USP2,0.00030647466
SLC9A7,0.0003063111
C1orf198,0.00030611164
ZNF888,0.00030572191
CMTM1,0.0003050336
CFLAR,0.000304391
TCAF2,0.00030291142
CMC4,0.00030104732
DACT1,0.00030071678
TMSB4Y,0.0002986956
BAX,0.0002983709
TAGAP,0.00029749415
CNN2,0.00029647312
TBC1D30,0.00029626297
MAB21L4,0.00029625872
ARMT1,0.0002962343
KSR2,0.00029617103
DNAJC1,0.00029587618
PTAFR,0.00029572003
SLC16A7,0.00029270723
CCNE1,0.00029231564
MARCHF5,0.00028921626
KLHL29,0.00028782283
RAB39B,0.00028663888
DPYSL3,0.0002864617
USP18,0.0002859372
TOX2,0.0002857042
WASHC5,0.00028546827
SLC45A1,0.0002840112
FAM118A,0.00028196504
RNF223,0.0002819603
RASGRP3,0.00027858236
UBE2G1,0.0002777274
TNNI1,0.00027734166
ZNF254,0.00027723153
SOBP,0.00027639547
CSAD,0.00027581817
EPHX4,0.00027570158
TIMM21,0.0002747838
HOXA5,0.0002746947
ERCC2,0.0002743325
DDX11,0.00027270478
GCNT2,0.0002720067
PPP2R2C,0.0002706937
DIAPH1,0.00027040663
TRMT11,0.0002697256
USP43,0.00026919242
CFAP161,0.00026915222
CENPU,0.00026860493
GTF3C4,0.00026718187
EEF1AKMT4,0.00026691257
SLITRK6,0.0002668026
EXOC3,0.00026606317
RPS6,0.00026548046
COPZ2,0.0002632648
ADPRH,0.00026217996
LRRC32,0.0002613281
DNAH11,0.00026049305
PERP,0.0002589215
LRRN4,0.00025813206
SYNPO,0.0002575346
DYRK3,0.0002560776
CD99,0.00025602305
LONRF1,0.00025462097
MYLK3,0.0002546005
TGFBR3,0.00025410272
CDH2,0.0002536265
AKAP17A,0.00025327844
SLC4A7,0.00025137674
KHDC1L,0.00025115992
MT-ND2,0.00025085936
EMD,0.00025063468
ZNF785,0.00024971398
PSME2,0.00024900047
SAMHD1,0.0002488553
DKK3,0.0002473247
DNAH1,0.00024724158
AP3M2,0.00024663206
PRMT6,0.00024659326
MAP4K3,0.00024456505
YDJC,0.0002444793
EXOC6B,0.00024282101
IER2,0.00024250262
MPZL1,0.00024214089
LRRC37A3,0.00024118715
CDH6,0.00024114142
PPP1R14B,0.00023848253
DSTYK,0.00023623712
ANKRD12,0.00023596112
TOX3,0.00023592771
HJURP,0.00023518899
TMEM225B,0.00023376291
PTPN1,0.00023289041
HS1BP3,0.00023238357
ADCY9,0.00023211657
SOX8,0.00023024529
NSDHL,0.00022966867
ACTA2,0.00022841107
NTRK1,0.00022802276
CAMTA2,0.00022750028
NPPA,0.00022748922
FOXN3,0.00022703993
MAP3K8,0.0002269848
APCDD1,0.0002259598
BAIAP2L1,0.00022581637
AC007325.2,0.00022553612
C15orf39,0.00022462981
IER3,0.00022406002
ABRAXAS1,0.00022402806
CLDN15,0.0002237282
RRM2B,0.00022297632
MAP4,0.00022265974
AHCYL2,0.00022261152
CT45A5,0.00022232225
CYBA,0.00022131018
SIDT1,0.00022016496
ROCK1,0.00021980389
THAP8,0.0002192933
SLC25A13,0.00021818292
TMEM218,0.0002179718
SSH1,0.0002171928
KIF15,0.0002171247
TMEM159,0.00021663915
CACNA1G,0.00021650812
NBPF3,0.00021615198
CDCA7L,0.00021585955
ILK,0.00021550147
CRACDL,0.00021500803
VMP1,0.00021385886
LAGE3,0.0002136262
TDRD7,0.00021350106
